,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
388,camacha,75,PT,1570626168,83,33.08,-16.33,73.4,12.75
389,hobyo,14,SO,1570626168,56,5.35,48.53,86.45,12.08
390,noumea,9,NC,1570626168,94,-22.28,166.46,75.0,18.01
391,pacifica,20,US,1570626061,81,37.61,-122.49,55.4,5.82
392,westport,90,US,1570626169,76,41.14,-73.36,55.99,12.75
393,north bend,69,NG,1570626169,67,4.97,7.66,85.73,4.79
394,alice springs,100,ZA,1570626169,72,-32.79,26.83,56.57,17.85
395,panaba,98,MX,1570626170,90,21.28,-88.27,75.65,1.7
396,uyovu,100,TZ,1570626170,34,-3.28,31.53,85.91,1.03
397,tarko-sale,100,RU,1570626170,82,64.92,77.78,34.0,18.37
398,ponta delgada,96,BR,1570626170,83,-0.53,-65.05,78.53,3.28
399,spokane,90,US,1570625936,74,47.66,-117.42,32.0,12.75
400,waraseoni,25,IN,1570626171,77,21.76,80.05,78.17,4.11
401,bathsheba,20,BB,1570626171,62,13.22,-59.52,86.0,19.46
402,marau,0,BR,1570626171,72,-28.45,-52.2,66.2,11.41
403,suntar,100,RU,1570626171,88,62.16,117.65,22.37,8.5
404,touros,75,BR,1570626172,51,-5.2,-35.46,84.2,17.22
405,raudeberg,75,NO,1570626172,71,61.99,5.14,55.4,17.22
406,portland,75,US,1570625981,76,43.66,-70.25,53.01,9.17
407,camargo,15,MX,1570626172,59,27.69,-105.17,66.47,8.78
408,yakeshi,100,CN,1570626172,50,49.28,120.73,41.81,8.57
409,lakes entrance,90,US,1570626173,100,37.5,-83.94,59.0,1.95
410,sabzevar,0,IR,1570626173,10,36.21,57.68,78.17,16.33
411,sobolevo,100,RU,1570626173,87,54.43,31.9,47.21,12.59
412,yuanli,40,TW,1570626173,78,24.44,120.65,82.0,8.05
413,axim,91,GH,1570626174,83,4.87,-2.24,79.43,13.89
414,tabas,0,IR,1570626174,10,33.6,56.92,93.2,9.17
415,kalabo,99,ZM,1570626174,24,-15.0,22.67,91.67,5.7
416,dong xoai,100,CM,1570626174,76,4.89,12.01,77.99,1.12
417,varna,0,BG,1570626175,46,43.22,27.9,71.6,9.17
418,volkhov,100,RU,1570626175,89,59.92,32.34,40.01,8.22
419,iranshahr,20,IR,1570626176,20,27.21,60.69,98.6,4.7
420,price,1,US,1570626176,23,39.6,-110.81,54.0,8.05
421,mountain home,90,CA,1570626176,87,45.03,-75.49,45.0,4.7
422,zaliztsi,93,UA,1570626176,68,49.8,25.38,54.59,14.14
423,sergeyevka,81,KZ,1570626177,43,53.88,67.42,62.51,7.99
424,pemberton,100,AU,1570626177,90,-34.44,116.03,63.0,2.39
425,naron,40,ES,1570626177,67,43.52,-8.15,66.0,8.05
426,hopkinsville,1,US,1570626177,93,36.87,-87.49,54.0,3.7
427,burgeo,0,CA,1570626177,72,47.61,-57.61,47.57,12.82
428,marsh harbour,40,GB,1570626178,71,53.65,-1.81,57.99,18.34
429,beyneu,100,KZ,1570626178,26,45.32,55.19,75.11,13.45
430,sambava,61,MG,1570626178,55,-14.27,50.17,81.05,7.76
431,celestun,100,MX,1570626179,81,20.87,-90.4,79.61,12.52
432,binzhou,100,CN,1570626179,80,37.38,117.96,63.0,12.5
433,kitimat,90,CA,1570626179,100,54.02,-128.69,25.0,2.98
434,zhigansk,31,RU,1570626179,82,66.77,123.37,20.21,21.99
435,turukhansk,0,RU,1570626180,59,65.8,87.96,27.95,5.26
436,cabedelo,75,BR,1570626180,61,-6.97,-34.84,82.4,13.87
437,makakilo city,40,US,1570626180,88,21.35,-158.09,80.6,3.36
438,sembakung,67,ID,1570626181,84,3.82,117.25,78.89,4.65
439,batticaloa,65,LK,1570626181,75,7.71,81.69,80.87,7.35
440,wattegama,100,LK,1570626181,92,7.35,80.68,76.37,2.59
441,zhangye,98,CN,1570626181,37,38.94,100.46,53.51,5.77
442,okhotsk,100,RU,1570626181,96,59.36,143.24,41.27,23.06
443,mumbwa,80,ZM,1570626182,22,-14.99,27.06,90.59,7.02
444,chumikan,78,RU,1570626182,75,54.72,135.31,35.33,5.91
445,winslow,75,GB,1570626182,71,51.94,-0.88,60.01,18.34
446,mugur-aksy,0,RU,1570626183,66,50.38,90.44,34.25,3.62
447,araouane,0,ML,1570626183,6,18.9,-3.53,99.41,15.43
448,micheweni,46,TZ,1570626183,79,-4.97,39.83,80.33,14.46
449,vilhena,0,BR,1570626184,83,-12.74,-60.15,75.2,11.41
450,cayenne,75,GF,1570626184,66,4.94,-52.33,86.0,10.29
451,nueva concepcion,40,EC,1570626184,88,-1.72,-79.83,71.01,9.17
452,dekar,1,BW,1570626184,5,-21.53,21.93,98.33,2.37
453,waipawa,100,NZ,1570626185,90,-39.94,176.59,46.99,1.04
454,inuvik,40,CA,1570626185,86,68.36,-133.71,30.2,2.24
455,dharchula,14,IN,1570626185,88,29.85,80.53,47.21,1.95
456,aswan,0,EG,1570626185,13,24.09,32.9,106.61,5.91
457,ferrol,40,ES,1570626186,67,43.48,-8.23,66.0,8.05
458,waingapu,84,ID,1570626186,82,-9.65,120.26,79.43,12.96
459,kita,20,JP,1570626186,60,35.76,139.74,73.0,11.41
460,san cristobal,13,ML,1570626002,34,13.3,-4.9,95.63,13.15
461,port hardy,92,CD,1570626086,26,-7.04,29.76,85.73,10.63
462,camapua,95,BR,1570626187,59,-19.53,-54.04,79.79,8.54
463,arman,100,RU,1570626187,86,59.7,150.17,33.71,7.81
464,helong,27,CN,1570626187,70,25.94,116.13,74.75,1.01
465,san carlos de bariloche,13,ML,1570626187,34,13.3,-4.9,95.63,13.16
466,vavuniya,85,LK,1570626188,84,8.76,80.5,81.23,2.49
467,tanda,0,IN,1570626188,40,31.67,75.63,84.11,4.93
468,rio gallegos,1,US,1570626188,87,41.11,-90.4,54.0,6.93
469,shelburne,90,CA,1570626188,100,44.08,-80.2,52.0,2.24
470,haines junction,75,US,1570626189,69,44.91,-117.94,36.0,13.87
471,bubaque,98,GW,1570626189,74,11.28,-15.83,82.13,12.88
472,zhanaozen,100,KZ,1570626189,48,43.35,52.85,68.81,12.37
473,cap-aux-meules,5,CA,1570626189,76,47.38,-61.86,50.0,13.87
474,acapulco,75,MX,1570626190,88,16.86,-99.88,78.8,3.4
475,sondrio,75,IT,1570626190,75,46.17,9.88,62.01,10.29
476,tevaitoa,99,PF,1570626190,81,-16.78,-151.5,74.93,22.52
477,atbasar,85,KZ,1570626190,35,51.81,68.36,63.05,6.06
478,menongue,75,AO,1570626191,15,-14.66,17.68,98.33,4.7
479,tamandare,85,BR,1570626191,94,-8.28,-70.75,72.59,1.95
480,kholmogory,90,RU,1570626191,93,64.23,41.65,35.6,6.71
481,centralia,1,US,1570626192,87,39.21,-92.14,51.01,5.82
482,angoche,21,MZ,1570626192,40,-16.23,39.91,92.75,14.5
483,san jose,13,ML,1570626192,34,13.3,-4.9,95.63,13.15
484,hovd,0,NO,1570626192,50,63.83,10.7,52.0,21.92
485,cidreira,0,BR,1570626193,85,-30.17,-50.22,66.29,7.52
486,stepnyak,98,KZ,1570626193,51,52.83,70.79,60.71,7.2
487,nalut,13,LY,1570626193,49,31.86,10.98,72.41,12.55
488,springbok,44,ZA,1570626193,42,-29.67,17.88,67.91,28.41
489,beirut,75,LB,1570626193,58,33.9,35.48,84.2,12.75
490,copiapo,90,CL,1570626194,81,-27.37,-70.33,53.6,8.05
491,vernon,1,CA,1570626194,68,50.27,-119.27,30.99,6.93
492,lar,0,IR,1570626194,36,27.66,54.32,95.0,8.68
493,hualmay,54,PE,1570626195,89,-11.1,-77.61,59.45,13.51
494,xacmaz,100,AZ,1570626195,70,41.46,48.81,64.31,24.79
495,lasa,20,CY,1570626195,61,34.92,32.53,82.4,20.8
496,ust-kuyga,0,RU,1570626195,91,70.0,135.55,1.49,4.99
497,leh,98,IN,1570626196,29,34.16,77.58,37.49,5.97
498,tombouctou,6,ML,1570626196,8,16.77,-3.01,102.11,2.55
499,korsakov,40,RU,1570626196,87,46.63,142.78,44.6,6.71
500,marienburg,20,DE,1570626197,67,52.12,9.98,62.01,10.29
501,morondava,2,MG,1570626197,36,-20.3,44.28,92.57,12.01
502,miyako,20,JP,1570626197,68,33.63,130.94,69.01,4.7
503,birao,99,CF,1570626197,81,10.3,22.78,75.29,2.8
504,fremont,1,US,1570626197,76,37.55,-121.99,66.2,3.36
505,bowen,0,AU,1570626198,88,-20.01,148.25,73.4,1.12
506,gigmoto,100,PH,1570626198,80,13.78,124.39,82.67,14.9
507,cotonou,40,BJ,1570626198,88,6.37,2.43,80.6,11.41
